timestamp,severity,contributing_feature,reconstruction_error,diagnostic_trigger
2022-06-01 01:20:00,Medium,active_energy,0.14298144,Trigger Diagnostic
2022-06-01 03:30:00,Low,active_energy,0.109096654,No Action
2022-06-01 05:20:00,Medium,active_energy,0.13011764,Trigger Diagnostic
2022-06-01 08:20:00,High,active_energy,0.15929577,Trigger Diagnostic
2022-06-01 09:30:00,High,active_energy,0.2103453,Trigger Diagnostic
2022-06-01 12:10:00,High,active_energy,0.16339336,Trigger Diagnostic
2022-06-01 12:20:00,Medium,active_energy,0.14700058,Trigger Diagnostic
2022-06-01 16:50:00,Medium,active_energy,0.13523017,Trigger Diagnostic
2022-06-01 17:10:00,High,active_energy,0.18164045,Trigger Diagnostic
2022-06-01 18:35:00,Low,active_energy,0.11740614,No Action
2022-06-01 21:50:00,High,active_energy,0.17024283,Trigger Diagnostic
2022-06-01 22:15:00,Medium,active_energy,0.1210569,Trigger Diagnostic
2022-06-02 04:15:00,Low,active_energy,0.1106551,No Action
2022-06-02 04:25:00,High,active_energy,0.17006573,Trigger Diagnostic
2022-06-02 05:40:00,High,active_energy,0.18890707,Trigger Diagnostic
2022-06-02 05:50:00,Low,active_energy,0.10998262,No Action
2022-06-02 05:55:00,Low,active_energy,0.11065278,No Action
2022-06-02 10:10:00,Low,active_energy,0.10823207,No Action
2022-06-02 17:45:00,Low,active_energy,0.11047783,No Action
2022-06-02 18:15:00,Low,active_energy,0.10870321,No Action
2022-06-02 19:15:00,Medium,active_energy,0.13517363,Trigger Diagnostic
2022-06-02 19:25:00,High,active_energy,0.17885728,Trigger Diagnostic
2022-06-02 19:35:00,High,active_energy,0.1915766,Trigger Diagnostic
2022-06-02 21:45:00,Medium,co2_1,0.12346317,Trigger Diagnostic
2022-06-03 00:30:00,High,active_energy,0.20602593,Trigger Diagnostic
2022-06-03 00:50:00,Low,active_energy,0.10772666,No Action
2022-06-03 04:50:00,Medium,active_energy,0.12431265,Trigger Diagnostic
2022-06-03 07:35:00,Low,active_energy,0.115864046,No Action
2022-06-03 08:40:00,High,active_energy,0.17056839,Trigger Diagnostic
2022-06-03 09:45:00,Low,active_energy,0.10237485,No Action
2022-06-03 10:00:00,Low,active_energy,0.11185898,No Action
2022-06-03 11:30:00,Medium,active_energy,0.12478491,Trigger Diagnostic
2022-06-03 15:15:00,Low,active_energy,0.10460821,No Action
2022-06-03 16:35:00,Low,active_energy,0.110123076,No Action
2022-06-03 20:50:00,Medium,active_energy,0.12884775,Trigger Diagnostic
2022-06-03 21:30:00,Low,active_energy,0.10986891,No Action
2022-06-03 23:40:00,High,active_energy,0.18216716,Trigger Diagnostic
2022-06-04 04:05:00,Low,active_energy,0.11092655,No Action
2022-06-04 04:35:00,Low,active_energy,0.1070888,No Action
2022-06-04 07:15:00,High,active_energy,0.18474318,Trigger Diagnostic
2022-06-04 07:20:00,High,active_energy,0.21709193,Trigger Diagnostic
2022-06-04 11:00:00,High,active_energy,0.21059532,Trigger Diagnostic
2022-06-04 11:05:00,Medium,active_energy,0.12309267,Trigger Diagnostic
2022-06-04 11:50:00,Medium,active_energy,0.13050155,Trigger Diagnostic
2022-06-04 12:35:00,Medium,active_energy,0.13404414,Trigger Diagnostic
2022-06-04 15:05:00,High,active_energy,0.16850483,Trigger Diagnostic
